LOCALIDAD,BARRIO,CASA DE CULTURA,MODALIDAD,DIA,HORA
SUROCCIDENTE,EL BOSQUE,I.E.D NUEVO BOSQUE,PERCUSION,martes,02:00-06:00
N.C.H.,MONTECRISTO,I.E.D INSTITUTO TECNICO NACIONAL DE COMERCIO (INSTENALCO),GUITARRA,sabado,02:00-06:00
SUROCCIDENTE,LOS ANDES,I.E.D INOCENCIO CHINCA INEDICH,DIBUJO,sabado,08:00-12:00
SUROCCIDENTE,SILENCIO,I.E.D EL SILENCIO,PINTURA,sabado,08:00-12:00
SURORIENTE,LA MAGDALENA,I.E.D LA MAGDALENA,INICIACION MUSICAL,miercoles,08:00-12:00
RIOMAR,LAS FLORES,C.D.C LAS FLORES,TEJIDO,viernes,02:00-06:00
SURORIENTE,ALBORAYA 2,I.E.D CASTILLO DE LA ALBORAYA,Maquillaje artistico,sabado,02:00-06:00
METROPOLITANA,VILLA  SAN PEDRO 2,I.E.D COSTA CARIBE,DANZA FOLCLORICA,sabado,08:00-12:00
SUROCCIDENTE,PUMAREJO (BUENA ESPERANZA),I.E.D JAVIER SANCHEZ,INICIACION MUSICAL,miercoles,02:00-06:00
SURORIENTE,SAN ROQUE,I.E.D LA PRESENTACION,PINTURA,viernes,02:00-06:00
SURORIENTE,LA UNION,CENTRO DE ATENCION SUPERAR,PINTURA,lunes,02:00-06:00
N.C.H.,MONTECRISTO,I.E.D INSTITUTO TECNICO NACIONAL DE COMERCIO (INSTENALCO),PINTURA,sabado,02:00-06:00
METROPOLITANA,SANTO DOMINGO,I.E.D SANTO DOMINGO DE GUZMAN,INICIACION MUSICAL,sabado,08:00-12:00
N.C.H.,BELLAVISTA,I.E.D PESTALOZZI,BISUTERÍA Y ACCESORIOS,jueves,02:00-06:00
METROPOLITANA,CIUDADELA 20 DE JULIO,I.E.D PABLO NERUDA,PERCUSION,sabado,02:00-06:00
RIOMAR,LA PLAYA,I.E.D EL CAÑAHUATE SEDE 1,INICIACION MUSICAL,sabado,02:00-06:00
METROPOLITANA,SANTO DOMINGO,I.E.D SANTO DOMINGO DE GUZMAN,PERCUSION,sabado,08:00-12:00
SUROCCIDENTE,LOS PINOS,I.E.D SALVADOR SUAREZ SUAREZ,DIBUJO,sabado,02:00-06:00
N.C.H.,BELLAVISTA,I.E.D PESTALOZZI,Maquillaje artistico,viernes,02:00-06:00
N.C.H.,CHIQUINQUIRA,CENTRO DE REHABILITACION FEMENINA EL BUEN PASTOR,PERCUSION,viernes,02:00-06:00
METROPOLITANA,7 DE ABRIL,HOGAR INFANTIL SAN PEDRO CLAVER (FE Y ALEGRIA),PINTURA,martes,08:00-12:00
N.C.H.,RECREO,CLUB DE LEONES DE BARRANQUILLA MONARCA,DANZA MODERNA,viernes,08:00-12:00
N.C.H.,BELLAVISTA,I.E.D PESTALOZZI,PERCUSION,sabado,08:00-12:00
METROPOLITANA,ALBORAYA,CDI ALBORAYA FUNDANGELITOS,DANZA FOLCLORICA,lunes,08:00-12:00
N.C.H.,VILLANUEVA,I.E.D VILLANUEVA,PERCUSION,sabado,08:00-12:00
SUROCCIDENTE,CARLOS MEISEL,I.E.D CARLOS MEISEL,DANZA FOLCLORICA,viernes,02:00-06:00
SURORIENTE,LA MAGDALENA,I.E.D LA MAGDALENA,RECICLAJE Y MANUALIDADES,sabado,08:00-12:00
SURORIENTE,LAS PALMAS,I.E.D RODOLFO LLINAS RIASCOS,INICIACION MUSICAL,sabado,08:00-12:00
SURORIENTE,LAS NIEVES,I.E.D NUESTRA SEÑORA DE LAS NIEVES,DANZA FOLCLORICA,lunes,02:00-06:00
RIOMAR,LA PLAYA,HOGAR INFANTIL LA PLAYA,PINTURA,miercoles,08:00-12:00
METROPOLITANA,CIUDADELA 20 DE JULIO,I.E.D CCEBM 187,DANZA URBANA,viernes,02:00-06:00
SUROCCIDENTE,EL BOSQUE,C.D.C EL BOSQUE,PINTURA,miercoles,02:00-06:00
SURORIENTE,LAS NIEVES,I.E.D NUESTRA SEÑORA DE LAS NIEVES,BISUTERÍA Y ACCESORIOS,lunes,08:00-12:00
SURORIENTE,ALBORAYA 2,I.E.D CASTILLO DE LA ALBORAYA,INSTRUMENTOS DE VIENTO,sabado,02:00-06:00
N.C.H.,BELLAVISTA,I.E.D PESTALOZZI,TEATRO,martes,08:00-12:00
SURORIENTE,UNIVERSAL,CENTRO DE EDUCACION BASICA Y MEDIA N. 132,INICIACION MUSICAL,jueves,08:00-12:00
SURORIENTE,SAN JOSE,I.E.D SAN JOSE,DANZA FOLCLORICA,viernes,02:00-06:00
SUROCCIDENTE,LA PRADERA,I.E.D BETZABE ESPINOSA,DANZA FOLCLORICA,sabado,02:00-06:00
SUROCCIDENTE,LA MANGA,BIBLIOTECA POPULAR LA MANGA,LITERATURA,miercoles,02:00-06:00
SURORIENTE,LAS PALMAS,I.E.D PARA EL DESARROLLO HUMANO MARIA CANO,BISUTERÍA Y ACCESORIOS,jueves,08:00-12:00
SURORIENTE,LAS PALMAS,I.E.D MARCO FIDEL SUAREZ,INICIACION MUSICAL,viernes,02:00-06:00
METROPOLITANA,VILLA  SAN PEDRO 2,I.E.D COSTA CARIBE,RECICLAJE Y MANUALIDADES,sabado,08:00-12:00
RIOMAR,LAS FLORES,C.D.C LAS FLORES,RECICLAJE Y MANUALIDADES,sabado,02:00-06:00
SUROCCIDENTE,EL BOSQUE,I.E.D NUEVO BOSQUE,DANZA URBANA,sabado,08:00-12:00
METROPOLITANA,CARRIZAL,I.E.D DE CARRIZAL,TEATRO,sabado,02:00-06:00
RIOMAR,LAS FLORES,I.E.D LAS FLORES,DANZA MODERNA,jueves,02:00-06:00
SUROCCIDENTE,LA MANGA,BIBLIOTECA POPULAR LA MANGA,GUITARRA,viernes,02:00-06:00
N.C.H.,VILLANUEVA,I.E.D VILLANUEVA,DANZA FOLCLORICA,sabado,08:00-12:00
SUROCCIDENTE,ALFONSO LOPEZ,I.E.D KARL PARRISH,INICIACION MUSICAL,jueves,02:00-06:00
METROPOLITANA,CIUDADELA 20 DE JULIO,I.E.D CIUDADELA  20 DE JULIO,INICIACION MUSICAL,miercoles,02:00-06:00
SURORIENTE,LAS PALMAS,I.E.D RODOLFO LLINAS RIASCOS,DANZA FOLCLORICA,sabado,08:00-12:00
SURORIENTE,LA MAGDALENA,I.E.D LA MAGDALENA,PERCUSION,sabado,08:00-12:00
SUROCCIDENTE,LIPAYA,I.E.D JOSE MARIA VELAZ,DANZA FOLCLORICA,jueves,02:00-06:00
SURORIENTE,SIMON BOLIVAR,I.E.D JORGE ISAACS,PERCUSION,viernes,02:00-06:00
METROPOLITANA,SANTUARIO,CASA DE LA JUVENTUD SANTUARIO,BISUTERÍA Y ACCESORIOS,sabado,08:00-12:00
SURORIENTE,LAS NIEVES,COLEGIO TECNICO DIVERSIFICADO DE BARRANQUILLA,DANZA FOLCLORICA,sabado,08:00-12:00
SUROCCIDENTE,EL BOSQUE,I.E.D LESTONNAC,PERCUSION,sabado,08:00-12:00
N.C.H.,BOSTON,I.E.D CODEBA,TEJIDO,sabado,08:00-12:00
